Direccion;Canal;Segmento;Fecha de creacion;Dia de la semana;Numero de semana;Cod Persona;Campaña de referencia
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;48912140;MEDICINA - Pregrado-AC-202701
Inbound;Web;Gracias landing;16/04/2026;jueves;16;8318580;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;44443320;Pregrado-AC-202602 
Outbound;WhatsApp;waprpin404_incial_proximo_periodo_16042026;16/04/2026;jueves;16;25108520;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;49479290;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;49512050;Pregrado-AC-202602 
Outbound;WhatsApp;ugprp646_proximo_periodo_130426;14/04/2026;martes;16;44717070;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;46343360;Pregrado-AC-202602 
Inbound;Redes sociales;Pauta Facebook;17/04/2026;viernes;16;7427840;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;8701010;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugles537_leads_semanales_170426;17/04/2026;viernes;16;15811680;Pregrado-AC-202602 
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;49428110;Pregrado-AC-202602 
Inbound;Web;Portal;13/04/2026;lunes;16;49567760;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;2519220;EPE-FC-202602 - EPE- 202602
Inbound;Web;Portal;18/04/2026;sábado;16;49636140;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;19/04/2026;domingo;16;49653820;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;49491450;Pregrado-AC-202602 
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;43020620;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;13/04/2026;lunes;16;49233500;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;47512650;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;47512650;Pregrado-AC-202602 
Inbound;Web;Gracias landing;17/04/2026;viernes;16;47512650;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;47512650;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;47497890;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;46323870;MEDICINA - Pregrado-AC-202701
Inbound;Web;Botón Página Principal;18/04/2026;sábado;16;42384960;Pregrado-AC-202602 
Outbound;WhatsApp;wafowa459_incre_formulario_web_contactados_16042026;16/04/2026;jueves;16;49553500;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;36213180;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wafowa459_incre_formulario_web_contactados_16042026;16/04/2026;jueves;16;49574340;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;17/04/2026;viernes;16;49622970;Pregrado-AC-202602 
Inbound;Web;Gracias landing;14/04/2026;martes;16;49579030;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias pag Facultad;13/04/2026;lunes;16;45264160;Pregrado-AC-202602 
Inbound;Web;Portal;19/04/2026;domingo;16;35326440;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;15/04/2026;miércoles;16;49598890;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página carrera;13/04/2026;lunes;16;37146210;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;37146210;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49615730;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;17/04/2026;viernes;16;5677450;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;46300060;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;49472850;Pregrado-AC-202602 
Outbound;WhatsApp;ugraul651_ra_ultimo_periodo_feeder_aaa;17/04/2026;viernes;16;38910240;Pregrado-AC-202602- RA
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;47089540;MEDICINA - Pregrado-AC-202701
Inbound;Web;Portal;19/04/2026;domingo;16;38261700;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;49594960;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;49621830;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Pag admisión;15/04/2026;miércoles;16;39934930;Pregrado-AC-202602 
Inbound;Web;Convalidador;14/04/2026;martes;16;49584500;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;waremk650_reciclados_mkt_directo_17042026;18/04/2026;sábado;16;39820280;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;46143400;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;46143400;Pregrado-AC-202602 
Outbound;WhatsApp;ugraul651_ra_ultimo_periodo_feeder_aaa;17/04/2026;viernes;16;42248510;Pregrado-AC-202602- RA
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;40799570;EPE-FC-202602 - EPE- 202602
Inbound;Web;Convalidador;13/04/2026;lunes;16;49563850;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49573000;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49573000;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;48189810;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;16/04/2026;jueves;16;49548370;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;49548370;Pregrado-AC-202602 
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;20570120;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;19/04/2026;domingo;16;48379060;Pregrado-AC-202602 
Inbound;Web;Gracias landing;14/04/2026;martes;16;44640850;Pregrado-AC-202602 
Inbound;Web;Gracias landing;14/04/2026;martes;16;40826290;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;49573190;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;47833290;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;43142210;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;45639340;Pregrado-AC-202602 
Inbound;Web;Botón Pag admisión;16/04/2026;jueves;16;46262700;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;48748480;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;42628860;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49512790;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;42054210;Pregrado-AC-202602 
Outbound;WhatsApp;waremk650_reciclados_mkt_directo_17042026;18/04/2026;sábado;16;40507920;EPE-FC-202602 - EPE- 202602
Inbound;Email;Email bienvenida;18/04/2026;sábado;16;45216130;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;45112290;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;28689270;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;49549660;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;26421480;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;38259160;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;27658170;MEDICINA - Pregrado-AC-202701
Inbound;Web;Gracias landing;15/04/2026;miércoles;16;49588280;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;49149050;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;49149050;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49149050;Pregrado-AC-202602 
Inbound;Web;Portal;19/04/2026;domingo;16;29161720;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacigen584_inicial_citas_generadas_en_campana_16042026;16/04/2026;jueves;16;26128280;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;8020300;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;44707070;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;44707070;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;46577070;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;45642350;Pregrado-AC-202602 
Outbound;WhatsApp;ugfowpe647_formulario_web_periodo_anterior_1304;16/04/2026;jueves;16;47084890;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;49646830;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;21864180;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;17/04/2026;viernes;16;45636100;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;16919950;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;18/04/2026;sábado;16;49642470;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45184010;MEDICINA - Pregrado-AC-202701
Inbound;Web;Gracias landing;14/04/2026;martes;16;48163960;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;18/04/2026;sábado;16;47632330;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Pag admisión;14/04/2026;martes;16;41226880;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;41226880;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49094230;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;46405260;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49573880;Pregrado-AC-202602 
Inbound;Onsite;Pop-Up;14/04/2026;martes;16;45948690;Pregrado-AC-202602 
Outbound;WhatsApp;waremk650_reciclados_mkt_directo_17042026;18/04/2026;sábado;16;30510350;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página carrera;16/04/2026;jueves;16;2355;Pregrado-AC-202602 
Inbound;Web;Gracias portal;16/04/2026;jueves;16;49606980;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;45424930;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;30934560;MEDICINA - Pregrado-AC-202701
Inbound;Web;Gracias landing;13/04/2026;lunes;16;26851730;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugprp646_proximo_periodo_130426;14/04/2026;martes;16;43825130;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;41605720;Pregrado-AC-202602 
Inbound;Web;Gracias landing;16/04/2026;jueves;16;49606720;Pregrado-AC-202602 
Outbound;WhatsApp;ugraul651_ra_ultimo_periodo_feeder_aaa;17/04/2026;viernes;16;44672130;Pregrado-AC-202602- RA
Outbound;WhatsApp;ugrew431_registro_web_130426;14/04/2026;martes;16;46078090;Pregrado-AC-202602 
Inbound;Onsite;Pop-Up;15/04/2026;miércoles;16;39778860;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;16/04/2026;jueves;16;39222290;Pregrado-AC-202602 
Inbound;Web;Portal;15/04/2026;miércoles;16;28403330;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;43073140;Pregrado-AC-202602 
Inbound;Web;Gracias landing;19/04/2026;domingo;16;30308570;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;49582140;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;49582140;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;38458100;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;45704110;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;46519170;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;45362350;Pregrado-AC-202602 
Inbound;Web;Botón Pag admisión;17/04/2026;viernes;16;49624260;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;47196150;Pregrado-AC-202602 
Inbound;Onsite;Pop-Up;17/04/2026;viernes;16;45849100;Pregrado-AC-202602 
Inbound;Web;Gracias landing;16/04/2026;jueves;16;49615990;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;41485600;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;41485600;Pregrado-AC-202602 
Inbound;Web;Gracias landing;14/04/2026;martes;16;29566660;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;18343440;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;49002400;EPE-FC-202602 - EPE- 202602
Inbound;Web;Convalidador;19/04/2026;domingo;16;28627000;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;49338860;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;19/04/2026;domingo;16;49338860;Pregrado-AC-202602 
Inbound;Redes sociales;Pauta Facebook;18/04/2026;sábado;16;37478370;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;18/04/2026;sábado;16;49638500;EPE-FC-202602 - EPE- 202602
Inbound;Web;Portal;13/04/2026;lunes;16;45856280;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;19/04/2026;domingo;16;47103730;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;25093160;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias pag Facultad;19/04/2026;domingo;16;49650390;Pregrado-AC-202602 
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;2138910;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45474680;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;49595710;Pregrado-AC-202602 
Inbound;Web;Gracias landing;14/04/2026;martes;16;40686870;Pregrado-AC-202602 
Inbound;Web;Gracias pag Facultad;16/04/2026;jueves;16;49604270;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;23265340;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;23265340;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;46745490;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49243840;Pregrado-AC-202602 
Inbound;Web;Pag institucional;19/04/2026;domingo;16;43335760;Pregrado-AC-202602 
Inbound;Web;Botón Página carrera;13/04/2026;lunes;16;25693300;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45222950;MEDICINA - Pregrado-AC-202701
Inbound;Web;Gracias landing;15/04/2026;miércoles;16;49592220;Pregrado-AC-202602 
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;24100460;EPE-FC-202602 - EPE- 202602
Inbound;Web;Portal;17/04/2026;viernes;16;39551330;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;47970050;Pregrado-AC-202602 
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;12333620;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;13/04/2026;lunes;16;49439050;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugprp646_proximo_periodo_130426;14/04/2026;martes;16;48194210;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;43638560;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;28453570;Pregrado-AC-202602 
Inbound;Web;Convalidador;14/04/2026;martes;16;28768460;EPE-FC-202602 - EPE- 202602
Inbound;Onsite;Pop-Up;16/04/2026;jueves;16;42106700;Pregrado-AC-202602 
Inbound;Web;Gracias landing;18/04/2026;sábado;16;49639800;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;44572250;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wafowa459_incre_formulario_web_contactados_16042026;16/04/2026;jueves;16;44572250;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;45288290;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;49638200;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;13/04/2026;lunes;16;47974610;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;46508280;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;43498310;MEDICINA - Pregrado-AC-202701
Inbound;Onsite;Pop-Up;15/04/2026;miércoles;16;45254520;Pregrado-AC-202602 
Outbound;WhatsApp;waremk650_reciclados_mkt_directo_17042026;18/04/2026;sábado;16;32993350;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;36546010;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;18/04/2026;sábado;16;47553880;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;19/04/2026;domingo;16;47553880;Pregrado-AC-202602 
Inbound;Web;Banner principal;16/04/2026;jueves;16;18233520;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;13/04/2026;lunes;16;42403220;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;47367640;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49568610;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;44915420;Pregrado-AC-202602 
Inbound;Web;Portal;16/04/2026;jueves;16;34471450;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;49325160;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;42610060;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;waremk650_reciclados_mkt_directo_17042026;18/04/2026;sábado;16;12137490;EPE-FC-202602 - EPE- 202602
Inbound;Onsite;Pop-Up;19/04/2026;domingo;16;36520670;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49572510;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45710140;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;36675900;MEDICINA - Pregrado-AC-202701
Inbound;Web;Portal;13/04/2026;lunes;16;49564790;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;5498270;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;25305570;EPE-FC-202602 - EPE- 202602
Inbound;Web;Portal;16/04/2026;jueves;16;30468050;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;47982410;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;41899280;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;21381610;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugprmpo649_increm_pre_medicina_postulantes_no_incorporados_16042026;16/04/2026;jueves;16;38195010;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;19/04/2026;domingo;16;49128040;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;45488280;Pregrado-AC-202602 
Outbound;WhatsApp;waremk650_reciclados_mkt_directo_17042026;19/04/2026;domingo;16;26863500;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49570530;Pregrado-AC-202602 
Outbound;WhatsApp;waremk650_reciclados_mkt_directo_17042026;18/04/2026;sábado;16;10819320;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;44505880;Pregrado-AC-202602 
Inbound;Web;Portal;17/04/2026;viernes;16;10856670;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;10856670;Pregrado-AC-202602 
Inbound;Web;Convalidador;18/04/2026;sábado;16;49639530;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;18296560;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;42223430;Pregrado-AC-202602 
Inbound;Web;Gracias principal;15/04/2026;miércoles;16;42223430;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;42223430;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;42223430;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;42223430;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;49562980;EPE-FC-202602 - EPE- 202602
Inbound;Web;Portal;13/04/2026;lunes;16;45735480;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;23497870;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugraul651_ra_ultimo_periodo_feeder_aaa;17/04/2026;viernes;16;45679630;Pregrado-AC-202602- RA
Inbound;Web;Banner principal;14/04/2026;martes;16;26090350;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49503510;EPE-FC-202602 - EPE- 202602
Inbound;Web;Banner principal;16/04/2026;jueves;16;49609280;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49609280;Pregrado-AC-202602 
Inbound;Web;Botón Página carrera;16/04/2026;jueves;16;37324170;Pregrado-AC-202602 
Inbound;Web;Portal;16/04/2026;jueves;16;6329690;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;40571150;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;22809610;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;49642990;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;13/04/2026;lunes;16;49493770;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;44641350;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;45175070;MEDICINA - Pregrado-AC-202701
Inbound;Web;Gracias portal;14/04/2026;martes;16;49577950;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;18/04/2026;sábado;16;43319880;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;15/04/2026;miércoles;16;42131390;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45393130;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugraul651_ra_ultimo_periodo_feeder_aaa;17/04/2026;viernes;16;44770700;Pregrado-AC-202602- RA
Inbound;Web;Portal;17/04/2026;viernes;16;49626290;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Pag admisión;17/04/2026;viernes;16;24607540;Pregrado-AC-202602 
Inbound;Web;Portal;14/04/2026;martes;16;49581510;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página carrera;16/04/2026;jueves;16;40594480;Pregrado-AC-202602 
Inbound;Web;Gracias landing;18/04/2026;sábado;16;43410230;Pregrado-AC-202602 
Inbound;Web;Gracias principal;18/04/2026;sábado;16;43410230;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;19/04/2026;domingo;16;43081530;Pregrado-AC-202602 
Inbound;Redes sociales;Pauta Facebook;16/04/2026;jueves;16;37000050;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;26833180;Pregrado-AC-202602 
Outbound;WhatsApp;ugprmpo649_increm_pre_medicina_postulantes_no_incorporados_16042026;16/04/2026;jueves;16;43409370;MEDICINA - Pregrado-AC-202701
Inbound;Web;Botón Página Principal;16/04/2026;jueves;16;38885020;Pregrado-AC-202602 
Inbound;Web;Botón Página carrera;16/04/2026;jueves;16;35178180;Pregrado-AC-202602 
Inbound;Web;Gracias portal;14/04/2026;martes;16;49581450;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;48408960;Pregrado-AC-202602 
